"Sex","Age Group","Distance","Stroke","Rank","Time","Name","Age","Club","Reg Number","Date","Meet"
"Women ","25-29","50","Freestyle","1","37.03"," Elaine D McQuillan","F26","SNM","384K-0ASYU","07-07-2024","Silver State Masters LCM"
"Women ","25-29","100","Freestyle","1","1:24.65"," Elaine D McQuillan","F26","SNM","384K-0ASYU","07-07-2024","Silver State Masters LCM"
"Women ","25-29","200","Freestyle","1","3:05.07"," Taylor D Chase","F28","UC38","384E-NARY0","07-07-2024","Silver State Masters LCM"
"Women ","25-29","200","Freestyle","2","3:05.58"," Elaine D McQuillan","F26","SNM","384K-0ASYU","07-07-2024","Silver State Masters LCM"
"Women ","25-29","100","Breaststroke","1","1:38.11"," Taylor D Chase","F28","UC38","384E-NARY0","07-07-2024","Silver State Masters LCM"
"Women ","25-29","50","Butterfly","1","42.88"," Taylor D Chase","F28","UC38","384E-NARY0","07-07-2024","Silver State Masters LCM"
"Women ","25-29","100","Butterfly","1","1:26.95"," Taylor D Chase","F28","UC38","384E-NARY0","07-07-2024","Silver State Masters LCM"
"Women ","25-29","200","Individual Medley","1","3:16.26"," Taylor D Chase","F28","UC38","384E-NARY0","07-07-2024","Silver State Masters LCM"
"Women ","30-34","50","Freestyle","1","29.32"," Anette Skoda","F33","STAN","3849-0717A","","2024 World Aquatics Masters Championships"
"Women ","30-34","50","Freestyle","2","49.48"," Annelise Dankworth","F33","CARS","384F-YK3H8","07-07-2024","Silver State Masters LCM"
"Women ","30-34","100","Freestyle","1","1:06.11"," Anette Skoda","F33","STAN","3849-0717A","","2024 World Aquatics Masters Championships"
"Women ","30-34","100","Freestyle","2","1:56.11"," Annelise Dankworth","F33","CARS","384F-YK3H8","07-07-2024","Silver State Masters LCM"
"Women ","30-34","50","Breaststroke","1","37.85"," Anette Skoda","F33","STAN","3849-0717A","","2024 World Aquatics Masters Championships"
"Women ","30-34","100","Breaststroke","1","1:25.06"," Anette Skoda","F33","STAN","3849-0717A","","2024 World Aquatics Masters Championships"
"Women ","30-34","50","Butterfly","1","57.87"," Annelise Dankworth","F33","CARS","384F-YK3H8","07-07-2024","Silver State Masters LCM"
"Women ","30-34","200","Individual Medley","1","2:44.78"," Anette Skoda","F33","STAN","3849-0717A","","2024 World Aquatics Masters Championships"
"Women ","35-39","50","Freestyle","1","1:56.70"," Amy C Heilman","F38","WAMS","384A-24XG5","07-07-2024","Silver State Masters LCM"
"Women ","35-39","50","Backstroke","1","1:40.03"," Amy C Heilman","F38","WAMS","384A-24XG5","07-07-2024","Silver State Masters LCM"
"Women ","35-39","100","Backstroke","1","3:31.98"," Amy C Heilman","F38","WAMS","384A-24XG5","07-07-2024","Silver State Masters LCM"
"Women ","40-44","50","Freestyle","1","32.33"," Jennifer L McIntyre","F44","SNM","384A-9XK12","07-07-2024","Silver State Masters LCM"
"Women ","40-44","50","Freestyle","2","37.95"," Meredith A West","F40","SMM","3842-03PVE","07-07-2024","Silver State Masters LCM"
"Women ","40-44","50","Freestyle","3","45.04"," Natalie S Ward Kiel","F44","CARS","384F-F41Z7","07-07-2024","Silver State Masters LCM"
"Women ","40-44","100","Freestyle","1","1:12.63"," Jennifer L McIntyre","F44","SNM","384A-9XK12","07-07-2024","Silver State Masters LCM"
"Women ","40-44","100","Freestyle","2","1:25.18"," Meredith A West","F40","SMM","3842-03PVE","07-07-2024","Silver State Masters LCM"
"Women ","40-44","100","Freestyle","3","1:45.93"," Natalie S Ward Kiel","F44","CARS","384F-F41Z7","07-07-2024","Silver State Masters LCM"
"Women ","40-44","200","Freestyle","1","2:36.73"," Jennifer L McIntyre","F44","SNM","384A-9XK12","07-07-2024","Silver State Masters LCM"
"Women ","40-44","200","Freestyle","2","3:05.13"," Meredith A West","F40","SMM","3842-03PVE","07-07-2024","Silver State Masters LCM"
"Women ","40-44","200","Freestyle","3","4:03.46"," Natalie S Ward Kiel","F44","CARS","384F-F41Z7","07-07-2024","Silver State Masters LCM"
"Women ","40-44","400","Freestyle","1","5:37.00"," Jennifer L McIntyre","F44","SNM","384A-9XK12","07-07-2024","Silver State Masters LCM"
"Women ","40-44","400","Freestyle","2","6:35.45"," Meredith A West","F40","SMM","3842-03PVE","07-07-2024","Silver State Masters LCM"
"Women ","40-44","800","Freestyle","1","12:36.80"," Ann Brunson","F43","WOOD","384U-9AHWG","","Sierra Nevada Swimming Distance Time Trials"
"Women ","40-44","50","Backstroke","1","51.34"," Meredith A West","F40","SMM","3842-03PVE","07-07-2024","Silver State Masters LCM"
"Women ","40-44","50","Backstroke","2","58.52"," Natalie S Ward Kiel","F44","CARS","384F-F41Z7","07-07-2024","Silver State Masters LCM"
"Women ","40-44","100","Backstroke","1","2:12.75"," Natalie S Ward Kiel","F44","CARS","384F-F41Z7","07-07-2024","Silver State Masters LCM"
