"Sex","Age Group","Distance","Stroke","Rank","Time","Name","Age","Club","Reg Number","Date","Meet"
"Women ","18-24","50","Freestyle","1","29.16"," Sage L Speak","F22","USF","387F-0B0PN","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","18-24","50","Freestyle","2","30.57"," Elyssa Pedote","F24","TOC","3873-0A9T3","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","18-24","50","Freestyle","3","30.83"," LillyBelle K Deer","F24","DAM","387H-0A3ZH","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","18-24","100","Freestyle","1","1:26.31"," Allisyn A Kolesar","F23","QSS","387P-0AC2R","07-16-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","18-24","200","Freestyle","1","2:23.90"," LillyBelle K Deer","F24","DAM","387H-0A3ZH","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","18-24","200","Freestyle","2","2:25.37"," Mackenzie M Leake","F24","STAN","387N-08D15","","Gil Young Memorial/NW Zone/Oregon LMSC LCM Championship Meet"
"Women ","18-24","400","Freestyle","1","4:55.26"," Lanna Kozlowski","F19","DAM","387U-0AS7D","08-03-2017","2017 End-of-Summer Splash"
"Women ","18-24","400","Freestyle","2","4:57.07"," Mackenzie M Leake","F24","STAN","387N-08D15","","Gil Young Memorial/NW Zone/Oregon LMSC LCM Championship Meet"
"Women ","18-24","800","Freestyle","1","10:02.97"," Mackenzie M Leake","F24","STAN","387N-08D15","","Gil Young Memorial/NW Zone/Oregon LMSC LCM Championship Meet"
"Women ","18-24","800","Freestyle","2","10:09.24"," Sage L Speak","F22","USF","387F-0B0PN","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","18-24","1500","Freestyle","1","19:02.04"," Mackenzie M Leake","F24","STAN","387N-08D15","08-25-2017","Gil Young Memorial/NW Zone/Oregon LMSC LCM Championship Meet"
"Women ","18-24","50","Backstroke","1","34.68"," Elyssa Pedote","F24","TOC","3873-0A9T3","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","18-24","200","Backstroke","1","2:40.29"," Mackenzie M Leake","F24","STAN","387N-08D15","08-27-2017","Gil Young Memorial/NW Zone/Oregon LMSC LCM Championship Meet"
"Women ","18-24","200","Backstroke","2","2:56.16"," LillyBelle K Deer","F24","DAM","387H-0A3ZH","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","18-24","50","Breaststroke","1","39.8"," Mackenzie M Leake","F24","STAN","387N-08D15","","Gil Young Memorial/NW Zone/Oregon LMSC LCM Championship Meet"
"Women ","18-24","50","Breaststroke","2","42.63"," Jensen N Brinker","F23","DAM","387W-0AZDV","08-03-2017","2017 End-of-Summer Splash"
"Women ","18-24","50","Breaststroke","3","52.35"," Allisyn A Kolesar","F23","QSS","387P-0AC2R","07-16-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","18-24","100","Breaststroke","1","1:17.66"," Sage L Speak","F22","USF","387F-0B0PN","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","18-24","100","Breaststroke","2","1:25.28"," Mackenzie M Leake","F24","STAN","387N-08D15","","Gil Young Memorial/NW Zone/Oregon LMSC LCM Championship Meet"
"Women ","18-24","100","Breaststroke","3","1:32.68"," LillyBelle K Deer","F24","DAM","387H-0A3ZH","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","18-24","200","Breaststroke","1","2:58.66"," Mackenzie M Leake","F24","STAN","387N-08D15","08-26-2017","Gil Young Memorial/NW Zone/Oregon LMSC LCM Championship Meet"
"Women ","18-24","50","Butterfly","1","33.25"," Mackenzie M Leake","F24","STAN","387N-08D15","","Gil Young Memorial/NW Zone/Oregon LMSC LCM Championship Meet"
"Women ","18-24","50","Butterfly","2","35.87"," Jensen N Brinker","F23","DAM","387W-0AZDV","08-03-2017","2017 End-of-Summer Splash"
"Women ","18-24","50","Butterfly","3","40.17"," Allisyn A Kolesar","F23","QSS","387P-0AC2R","07-16-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","18-24","100","Butterfly","1","1:11.06"," Elyssa Pedote","F24","TOC","3873-0A9T3","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","18-24","100","Butterfly","2","1:13.01"," Mackenzie M Leake","F24","STAN","387N-08D15","","Gil Young Memorial/NW Zone/Oregon LMSC LCM Championship Meet"
"Women ","18-24","100","Butterfly","3","1:24.83"," LillyBelle K Deer","F24","DAM","387H-0A3ZH","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","18-24","200","Butterfly","1","2:41.02"," Mackenzie M Leake","F24","STAN","387N-08D15","08-27-2017","Gil Young Memorial/NW Zone/Oregon LMSC LCM Championship Meet"
"Women ","18-24","200","Individual Medley","1","2:36.14"," Mackenzie M Leake","F24","STAN","387N-08D15","08-26-2017","Gil Young Memorial/NW Zone/Oregon LMSC LCM Championship Meet"
"Women ","18-24","200","Individual Medley","2","3:03.63"," Jensen N Brinker","F23","DAM","387W-0AZDV","08-03-2017","2017 End-of-Summer Splash"
"Women ","18-24","200","Individual Medley","3","3:29.59"," Allisyn A Kolesar","F23","QSS","387P-0AC2R","07-16-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","18-24","400","Individual Medley","1","5:26.63"," Mackenzie M Leake","F24","STAN","387N-08D15","08-25-2017","Gil Young Memorial/NW Zone/Oregon LMSC LCM Championship Meet"
"Women ","25-29","50","Freestyle","1","27.81"," Katherine Raatz","F29","TOC","387U-0801C","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","50","Freestyle","2","27.92"," Katie C Kastes","F28","TOC","387S-08BBD","04-27-2017","2017 World Masters Games"
"Women ","25-29","50","Freestyle","3","27.97"," Caitlin DeNise","F26","EBAT","3879-06KK5","08-03-2017","2017 End-of-Summer Splash"
"Women ","25-29","50","Freestyle","4","28.7"," Amanda D Larson","F29","DAM","387K-06XP9","08-03-2017","2017 End-of-Summer Splash"
"Women ","25-29","50","Freestyle","5","29.07"," Christine A Olson","F27","TOC","387F-09RUH","04-27-2017","2017 World Masters Games"
"Women ","25-29","50","Freestyle","6","29.61"," Anette A Skoda","F26","LAMV","3879-0717A","","2017 FINA World Masters Championships"
"Women ","25-29","50","Freestyle","7","30.15"," Lindsay E Gaudinier","F28","WCM","3874-06NAP","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","50","Freestyle","8","30.42"," Allison A Arnold","F25","TOC","387E-09827","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","50","Freestyle","9","30.62"," Jenn Hwang","F25","WCM","387K-09GHM","","2017 FINA World Masters Championships"
"Women ","25-29","50","Freestyle","10","33.66"," Lindsey C Curley","F29","DAM","387J-06YTD","08-03-2017","2017 End-of-Summer Splash"
"Women ","25-29","50","Freestyle","11","50.18"," Nicole C LaCaro","F26","DAM","387Y-09S45","08-03-2017","2017 End-of-Summer Splash"
"Women ","25-29","100","Freestyle","1","1:00.69"," Christine V Hughes","F26","TOC","3871-08DYF","04-26-2017","2017 World Masters Games"
"Women ","25-29","100","Freestyle","2","1:00.96"," Katie C Kastes","F28","TOC","387S-08BBD","04-26-2017","2017 World Masters Games"
"Women ","25-29","100","Freestyle","3","1:01.61"," Christine A Olson","F27","TOC","387F-09RUH","04-26-2017","2017 World Masters Games"
"Women ","25-29","100","Freestyle","4","1:05.52"," Anette A Skoda","F26","LAMV","3879-0717A","07-16-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","100","Freestyle","5","1:08.58"," Jenn Hwang","F25","WCM","387K-09GHM","07-16-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","100","Freestyle","6","1:16.78"," Jennifer L Mohn","F26","DAM","387E-09HD8","07-16-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","100","Freestyle","7","1:21.47"," Elizabeth Richter","F27","WOOD","387C-06HJS","08-03-2017","2017 End-of-Summer Splash"
"Women ","25-29","100","Freestyle","8","1:34.24"," Rivkah Cohen","F29","MEMO","387M-0AX08","07-16-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","200","Freestyle","1","2:14.23"," Allison A Arnold","F25","TOC","387E-09827","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","200","Freestyle","2","2:19.54"," Christine A Olson","F27","TOC","387F-09RUH","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","200","Freestyle","3","2:37.62"," Jenn Hwang","F25","WCM","387K-09GHM","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","200","Freestyle","4","2:43.81"," Dana L Thomas","F29","MVM","3879-07N33","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","200","Freestyle","5","3:02.35"," Elizabeth Richter","F27","WOOD","387C-06HJS","08-03-2017","2017 End-of-Summer Splash"
"Women ","25-29","400","Freestyle","1","4:56.90"," Lindsay E Gaudinier","F28","WCM","3874-06NAP","07-16-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","400","Freestyle","2","5:09.78"," Rachel Traylor","F28","SCSC","387A-0AFBN","07-16-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","400","Freestyle","3","5:10.80"," Jennifer L Mohn","F26","DAM","387E-09HD8","08-05-2017","2017 U.S. Masters Swimming Summer National Championship"
"Women ","25-29","400","Freestyle","4","5:55.36"," Elizabeth Richter","F27","WOOD","387C-06HJS","08-03-2017","2017 End-of-Summer Splash"
"Women ","25-29","400","Freestyle","5","7:27.96"," Rivkah Cohen","F29","MEMO","387M-0AX08","07-16-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","800","Freestyle","1","10:35.14"," Lindsay E Gaudinier","F28","WCM","3874-06NAP","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","800","Freestyle","2","11:11.23"," Jennifer L Mohn","F26","DAM","387E-09HD8","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","1500","Freestyle","1","20:00.91"," Jennifer L Mohn","F26","DAM","387E-09HD8","08-02-2017","2017 U.S. Masters Swimming Summer National Championship"
"Women ","25-29","1500","Freestyle","2","20:14.48"," Rachel Traylor","F28","SCSC","387A-0AFBN","07-14-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","1500","Freestyle","3","21:46.87"," Danae Petrakis","F25","USF","387N-08CG3","07-14-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","1500","Freestyle","4","24:05.52"," Kristina Petrakis","F28","USF","387C-09CFF","07-14-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","50","Backstroke","1","31.1"," Anna K Senko","F25","TOC","3876-09M68","04-24-2017","2017 World Masters Games"
"Women ","25-29","50","Backstroke","2","31.99"," Penelope R Yamauchi","F27","MEMO","387J-08277","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","50","Backstroke","3","32.97"," Katie C Kastes","F28","TOC","387S-08BBD","04-24-2017","2017 World Masters Games"
"Women ","25-29","50","Backstroke","4","34.42"," Katherine Raatz","F29","TOC","387U-0801C","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","50","Backstroke","5","37.12"," Amanda D Larson","F29","DAM","387K-06XP9","08-03-2017","2017 End-of-Summer Splash"
"Women ","25-29","50","Backstroke","6","38.33"," Jennifer L Mohn","F26","DAM","387E-09HD8","","2017 U.S. Masters Swimming Summer National Championship"
"Women ","25-29","100","Backstroke","1","1:06.85"," Anna K Senko","F25","TOC","3876-09M68","04-23-2017","2017 World Masters Games"
"Women ","25-29","100","Backstroke","2","1:18.30"," Jennifer L Mohn","F26","DAM","387E-09HD8","08-06-2017","2017 U.S. Masters Swimming Summer National Championship"
"Women ","25-29","100","Backstroke","3","1:54.16"," Rivkah Cohen","F29","MEMO","387M-0AX08","07-16-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","200","Backstroke","1","2:32.33"," Penelope R Yamauchi","F27","MEMO","387J-08277","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","200","Backstroke","2","2:45.68"," Allison A Arnold","F25","TOC","387E-09827","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","200","Backstroke","3","2:46.48"," Jennifer L Mohn","F26","DAM","387E-09HD8","08-05-2017","2017 U.S. Masters Swimming Summer National Championship"
"Women ","25-29","200","Backstroke","4","2:47.78"," Lindsay E Gaudinier","F28","WCM","3874-06NAP","07-15-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","50","Breaststroke","1","35.34"," Christine V Hughes","F26","TOC","3871-08DYF","04-26-2017","2017 World Masters Games"
"Women ","25-29","50","Breaststroke","2","35.41"," Christine A Olson","F27","TOC","387F-09RUH","04-26-2017","2017 World Masters Games"
"Women ","25-29","50","Breaststroke","3","36.46"," Katie C Kastes","F28","TOC","387S-08BBD","04-26-2017","2017 World Masters Games"
"Women ","25-29","50","Breaststroke","4","36.76"," Penelope R Yamauchi","F27","MEMO","387J-08277","07-16-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","50","Breaststroke","5","38.44"," Anette A Skoda","F26","LAMV","3879-0717A","07-16-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","50","Breaststroke","6","39.85"," Amanda D Larson","F29","DAM","387K-06XP9","08-03-2017","2017 End-of-Summer Splash"
"Women ","25-29","50","Breaststroke","7","40.97"," Jenn Hwang","F25","WCM","387K-09GHM","07-16-2017","Pacific Masters LCM Championships hosted by Quicksilver"
"Women ","25-29","50","Breaststroke","8","45.45"," Lindsey C Curley","F29","DAM","387J-06YTD","08-03-2017","2017 End-of-Summer Splash"
"Women ","25-29","50","Breaststroke","9","1:15.91"," Nicole C LaCaro","F26","DAM","387Y-09S45","08-03-2017","2017 End-of-Summer Splash"
