M,35-39,50,Free,Matthew T Marshall,2018-05-13,20.69
M,40-44,50,Free,Scott C Greenwood,2018-05-13,21.30
M,75-79,50,Free,James E Elder,2018-05-13,26.36
M,35-39,50,Fly,Matthew T Marshall,2018-05-13,21.66
M,60-64,50,Fly,Paul V Carter,2018-05-13,24.39
M,70-74,50,Fly,Andrew M McPherson,2018-05-13,27.69
M,75-79,50,Fly,James E Elder,2018-05-13,29.74
F,65-69,50,Free,Laura B Val,2018-05-13,26.55
F,25-29,50,Back,Felicia Lee,2018-05-13,25.32
F,35-39,50,Back,Naoko Watanabe,2018-05-13,27.16
F,65-69,200,Back,Laura B Val,2018-05-13,2:23.88
M,70-74,100,Free,Andrew M McPherson,2018-05-12,56.42
M,75-79,100,Free,James E Elder,2018-05-12,1:01.18
M,35-39,50,Back,Matthew T Marshall,2018-05-12,22.97
M,60-64,100,I.M.,Paul V Carter,2018-05-12,58.73
M,75-79,100,I.M.,James E Elder,2018-05-12,1:12.79
F,25-29,100,Free,Felicia Lee,2018-05-12,50.70
F,65-69,100,Free,Laura B Val,2018-05-12,57.88
F,65-69,50,Back,Laura B Val,2018-05-12,29.65
F,30-34,200,Breast,Katy Houston,2018-05-12,2:21.18
M,50-54,100,Back,Rick M Hamilton,2018-05-11,55.80
M,35-39,100,Fly,Matthew T Marshall,2018-05-11,48.86
M,60-64,100,Fly,Paul V Carter,2018-05-11,54.70
M,75-79,100,Fly,James E Elder,2018-05-11,1:15.94
F,65-69,200,Free,Laura B Val,2018-05-11,2:07.23
F,25-29,100,Back,Felicia Lee,2018-05-11,55.68
F,35-39,100,Back,Naoko Watanabe,2018-05-11,58.16
F,65-69,100,Back,Laura B Val,2018-05-11,1:03.96
M,70-74,1000,Free,Edward Rudloff,2018-05-10,12:42.51
F,70-74,100,Free,Ruth Y Shaps,2018-04-08,1:07.83
F,45-49,1000,Free,Alison H Zamanian,2018-04-08,10:35.48
F,70-74,100,Back,Ruth Y Shaps,2018-04-08,1:25.90
F,25-29,500,Free,Catherine Breed,2018-04-07,4:54.67
F,70-74,50,Back,Ruth Y Shaps,2018-04-07,39.52
F,60-64,200,Back,Bonnie M Bilich,2018-04-07,2:19.36
F,60-64,200,Breast,Bonnie M Bilich,2018-04-07,2:50.61
F,25-29,1650,Free,Catherine Breed,2018-04-06,16:56.13
M,35-39,100,Free,Tamas Kerekjarto,2018-02-03,45.59
M,18-24,100,Breast,Josh C Prenot,2018-02-03,52.63
F,55-59,100,Back,Bonnie M Bilich,2018-02-03,1:04.13
M,35-39,200,I.M.,Tamas Kerekjarto,2017-09-16,1:52.21
